issue_id,project_id,opened_date,closed_date,root_cause,severity,status,impact_days,impact_cost_usd,owner_function,requires_exec_escalation
ISS-0001,MN8-001,2025-10-14,2025-11-19,Interconnection delay,Medium,Closed,29,93509.0,Engineering,No
ISS-0002,MN8-001,2025-08-02,2025-09-21,Design revision,High,Closed,45,224050.0,Procurement,Yes
ISS-0003,MN8-001,2025-09-07,2025-09-27,Supply chain,Low,Closed,1,29229.0,Project Controls,No
ISS-0004,MN8-001,2025-09-28,2025-10-15,Weather,Low,Open,5,74148.0,Construction,No
ISS-0005,MN8-001,2025-08-02,2025-09-13,Supply chain,High,Closed,31,222702.0,Development,Yes
ISS-0006,MN8-001,2025-09-06,2025-10-17,Supply chain,High,Closed,22,173235.0,Construction,Yes
ISS-0007,MN8-002,2025-08-06,2025-09-01,Permit approval,Medium,Closed,13,91238.0,Construction,No
ISS-0008,MN8-002,2025-11-10,2025-12-13,Equipment lead time,Medium,Closed,21,87279.0,Development,No
ISS-0009,MN8-002,2025-09-10,2025-10-09,Design revision,Medium,Closed,15,92484.0,Engineering,No
ISS-0010,MN8-003,2025-10-02,2025-10-21,Contractor productivity,Medium,Closed,18,58581.0,Construction,No
ISS-0011,MN8-003,2025-09-02,2025-10-23,Contractor productivity,High,Open,38,141423.0,Engineering,Yes
ISS-0012,MN8-003,2025-08-22,2025-08-29,Site access,Low,Open,9,35589.0,Construction,No
ISS-0013,MN8-004,2025-09-19,2025-11-11,Interconnection delay,High,Closed,32,168984.0,Development,Yes
ISS-0014,MN8-004,2025-12-17,2026-01-06,Interconnection delay,Medium,Closed,9,43627.0,Procurement,No
ISS-0015,MN8-004,2025-09-09,2025-10-10,Permit approval,Medium,Closed,20,10967.0,Procurement,No
ISS-0016,MN8-005,2025-08-01,2025-09-19,Weather,High,Closed,36,253053.0,Development,Yes
ISS-0017,MN8-005,2025-09-17,2025-09-19,Quality rework,Low,Closed,6,80677.0,Procurement,No
ISS-0018,MN8-005,2025-10-10,2025-11-10,Site access,High,Closed,30,179906.0,Development,Yes
ISS-0019,MN8-005,2025-12-01,2026-01-06,Design revision,Medium,Closed,7,5397.0,Development,No
ISS-0020,MN8-005,2025-09-09,2025-09-21,Equipment lead time,Medium,Closed,19,119682.0,Engineering,No
ISS-0021,MN8-005,2025-10-20,2025-11-10,Supply chain,Low,Closed,1,0.0,Procurement,No
ISS-0022,MN8-006,2025-10-17,2025-11-23,Permit approval,Medium,Closed,18,11051.0,Engineering,No
