project_id,project_name,technology,region,stage,project_manager,epc_vendor,capacity_mw,planned_start,planned_cod,forecast_cod,schedule_variance_days,baseline_budget_usd,actual_spend_usd,budget_variance_pct,percent_complete,risk_score,portfolio_health,commercial_operation_year,issue_count,high_severity_issues,total_issue_impact_days,total_issue_impact_cost_usd,latest_actual_progress,latest_planned_progress,avg_performance_ratio,avg_monthly_capex_usd,safety_incidents,change_orders,progress_gap_pct,budget_variance_usd,budget_status,schedule_status,risk_band
MN8-001,Texas Battery Project 1,Battery Storage,Texas,Commissioning,L. Kim,BrightPath,102,2025-04-05,2025-11-23,2025-12-28,35,90722775.0,75843229.0,3.22,81.0,44.9,Watch,2025,6,3,133,816873.0,100.0,100.0,0.9359999999999999,13760255.166666666,1,8,0.0,2357781.25,Near plan,Delayed,Medium
MN8-002,Southwest Solar Project 2,Solar PV,Southwest,Development,D. Singh,SunPeak,103,2025-04-08,2026-06-20,2026-06-05,-15,96478133.0,11319117.0,-6.93,12.6,38.1,Healthy,2026,3,0,49,271001.0,49.5,47.8,0.8574999999999999,14365247.333333334,0,1,1.7000000000000028,-837127.7579999994,Under plan,Ahead,Low
MN8-003,Northeast Battery Project 3,Battery Storage,Northeast,Construction,S. Patel,StorageCore,154,2025-10-09,2026-04-10,2026-03-28,-13,129749912.0,90008895.0,3.37,67.1,19.7,Healthy,2026,3,1,65,235593.0,72.8,76.0,0.9354999999999999,24680386.833333332,0,1,-3.200000000000003,2946704.048000008,Near plan,Ahead,Low
MN8-004,Southeast Solar Project 4,Solar PV,Southeast,Engineering,A. Lopez,HelioWorks,166,2025-02-03,2026-02-12,2026-01-27,-16,152642714.0,64151094.0,10.01,38.2,51.6,Watch,2026,3,1,61,223578.0,51.0,56.7,0.842,27295383.5,0,2,-5.700000000000003,5841577.251999997,Over plan,Ahead,Medium
MN8-005,Northeast Hybrid Project 5,Hybrid Solar + Storage,Northeast,Engineering,R. Johnson,SunPeak,131,2025-08-18,2026-04-18,2026-05-21,33,157583538.0,72202263.0,10.67,41.4,47.4,Watch,2026,6,2,99,638715.0,65.3,62.7,0.871,20310711.833333332,2,7,2.5999999999999943,6962678.267999999,Over plan,Delayed,Medium
MN8-006,Northeast Battery Project 6,Battery Storage,Northeast,Operational,A. Lopez,SunPeak,132,2025-10-07,2027-03-31,2027-04-12,12,121666858.0,115335692.0,-4.03,98.8,8.0,Healthy,2027,3,0,42,124976.0,100.0,96.5,0.9308333333333333,27838905.0,2,5,3.5,-4871163.703999996,Near plan,Delayed,Low
MN8-007,Midwest Battery Project 7,Battery Storage,Midwest,Operational,R. Johnson,HelioWorks,99,2025-02-13,2026-01-01,2025-12-21,-11,80463128.0,86064428.0,6.99,100.0,8.0,Healthy,2025,3,0,22,54176.0,100.0,97.2,0.9115000000000001,16456564.666666666,2,0,2.799999999999997,5601300.0,Over plan,Ahead,Low
MN8-008,Midwest Solar Project 8,Solar PV,Midwest,Engineering,S. Patel,BrightPath,148,2025-02-20,2026-07-10,2026-08-04,25,154778612.0,43697017.0,3.71,27.2,62.8,Watch,2026,4,1,42,430914.0,61.0,60.7,0.84,21828116.166666668,0,1,0.29999999999999716,1597234.5359999985,Near plan,Delayed,High
MN8-009,Southeast Battery Project 9,Battery Storage,Southeast,Construction,M. Chen,SunPeak,109,2025-09-08,2027-02-20,2027-02-21,1,89147502.0,59799044.0,-7.37,72.4,37.2,Healthy,2027,4,2,57,498087.0,100.0,98.3,0.9198333333333334,13380442.166666666,3,1,1.7000000000000028,-4743747.447999999,Under plan,Delayed,Low
MN8-010,Texas Solar Project 10,Solar PV,Texas,Commissioning,D. Singh,HelioWorks,182,2025-05-03,2026-02-15,2026-04-08,52,184230490.0,148513330.0,-7.63,87.3,59.5,At Risk,2026,5,2,57,446449.0,100.0,100.0,0.842,32016522.5,0,5,0.0,-12319887.77000001,Under plan,Delayed,Medium
